SSB,Rec
47.151,354.524
43.808,168.447
75.783,190.527
83.490,183.333
89.598,270.365
88.837,131.827
95.767,179.746
93.437,223.389
99.704,310.228
105.637,150.660
118.237,114.185
116.859,320.063
106.745,77.677
101.582,133.583
