year,1,2,3,4,5,6,7,8,9,10
1963,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1964,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1965,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1966,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1967,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1968,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1969,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1970,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1971,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1972,0.0100,0.0500,0.2300,0.6200,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000
1973,0.0109,0.0511,0.2358,0.6402,0.8828,1.0000,1.0000,1.0000,1.0000,1.0000
1974,0.0104,0.0526,0.2292,0.6156,0.8499,1.0000,1.0000,1.0000,1.0000,1.0000
1975,0.0097,0.0540,0.2230,0.5913,0.8173,1.0000,1.0000,1.0000,1.0000,1.0000
1976,0.0088,0.0552,0.2175,0.5678,0.7858,1.0000,1.0000,1.0000,1.0000,1.0000
1977,0.0076,0.0561,0.2130,0.5459,0.7563,1.0000,1.0000,1.0000,1.0000,1.0000
1978,0.0062,0.0567,0.2095,0.5261,0.7298,1.0000,1.0000,1.0000,1.0000,1.0000
1979,0.0048,0.0571,0.2071,0.5093,0.7077,1.0000,1.0000,1.0000,1.0000,1.0000
1980,0.0037,0.0576,0.2058,0.4961,0.6911,1.0000,1.0000,1.0000,1.0000,1.0000
1981,0.0032,0.0583,0.2057,0.4872,0.6810,1.0000,1.0000,1.0000,1.0000,1.0000
1982,0.0035,0.0595,0.2076,0.4833,0.6779,1.0000,1.0000,1.0000,1.0000,1.0000
1983,0.0047,0.0617,0.2123,0.4849,0.6820,1.0000,1.0000,1.0000,1.0000,1.0000
1984,0.0068,0.0648,0.2211,0.4922,0.6928,1.0000,1.0000,1.0000,1.0000,1.0000
1985,0.0093,0.0689,0.2352,0.5052,0.7093,1.0000,1.0000,1.0000,1.0000,1.0000
1986,0.0119,0.0739,0.2554,0.5237,0.7303,1.0000,1.0000,1.0000,1.0000,1.0000
1987,0.0142,0.0795,0.2819,0.5469,0.7542,1.0000,1.0000,1.0000,1.0000,1.0000
1988,0.0157,0.0855,0.3137,0.5738,0.7794,1.0000,1.0000,1.0000,1.0000,1.0000
1989,0.0162,0.0915,0.3490,0.6028,0.8046,1.0000,1.0000,1.0000,1.0000,1.0000
1990,0.0156,0.0973,0.3850,0.6325,0.8285,1.0000,1.0000,1.0000,1.0000,1.0000
1991,0.0141,0.1029,0.4186,0.6612,0.8506,1.0000,1.0000,1.0000,1.0000,1.0000
1992,0.0119,0.1085,0.4470,0.6876,0.8702,1.0000,1.0000,1.0000,1.0000,1.0000
1993,0.0094,0.1146,0.4682,0.7106,0.8873,1.0000,1.0000,1.0000,1.0000,1.0000
1994,0.0069,0.1218,0.4816,0.7297,0.9019,1.0000,1.0000,1.0000,1.0000,1.0000
1995,0.0048,0.1307,0.4881,0.7450,0.9141,1.0000,1.0000,1.0000,1.0000,1.0000
1996,0.0033,0.1419,0.4901,0.7570,0.9242,1.0000,1.0000,1.0000,1.0000,1.0000
1997,0.0025,0.1558,0.4910,0.7665,0.9322,1.0000,1.0000,1.0000,1.0000,1.0000
1998,0.0023,0.1725,0.4948,0.7747,0.9384,1.0000,1.0000,1.0000,1.0000,1.0000
1999,0.0028,0.1918,0.5049,0.7824,0.9430,1.0000,1.0000,1.0000,1.0000,1.0000
2000,0.0039,0.2130,0.5236,0.7905,0.9463,1.0000,1.0000,1.0000,1.0000,1.0000
2001,0.0057,0.2353,0.5515,0.7993,0.9485,1.0000,1.0000,1.0000,1.0000,1.0000
2002,0.0081,0.2575,0.5876,0.8092,0.9498,1.0000,1.0000,1.0000,1.0000,1.0000
2003,0.0114,0.2787,0.6288,0.8197,0.9507,1.0000,1.0000,1.0000,1.0000,1.0000
2004,0.0156,0.2980,0.6710,0.8305,0.9514,1.0000,1.0000,1.0000,1.0000,1.0000
2005,0.0209,0.3147,0.7098,0.8411,0.9520,1.0000,1.0000,1.0000,1.0000,1.0000
2006,0.0271,0.3285,0.7408,0.8508,0.9525,1.0000,1.0000,1.0000,1.0000,1.0000
2007,0.0340,0.3394,0.7609,0.8594,0.9529,1.0000,1.0000,1.0000,1.0000,1.0000
2008,0.0412,0.3476,0.7683,0.8663,0.9532,1.0000,1.0000,1.0000,1.0000,1.0000
2009,0.0483,0.3534,0.7633,0.8715,0.9531,1.0000,1.0000,1.0000,1.0000,1.0000
2010,0.0546,0.3572,0.7475,0.8748,0.9526,1.0000,1.0000,1.0000,1.0000,1.0000
2011,0.0594,0.3594,0.7241,0.8762,0.9517,1.0000,1.0000,1.0000,1.0000,1.0000
2012,0.0622,0.3600,0.6964,0.8755,0.9505,1.0000,1.0000,1.0000,1.0000,1.0000
2013,0.0627,0.3592,0.6683,0.8729,0.9492,1.0000,1.0000,1.0000,1.0000,1.0000
2014,0.0607,0.3572,0.6427,0.8684,0.9481,1.0000,1.0000,1.0000,1.0000,1.0000
2015,0.0562,0.3539,0.6215,0.8621,0.9472,1.0000,1.0000,1.0000,1.0000,1.0000
2016,0.0497,0.3496,0.6053,0.8544,0.9468,1.0000,1.0000,1.0000,1.0000,1.0000
2017,0.0416,0.3443,0.5937,0.8456,0.9467,1.0000,1.0000,1.0000,1.0000,1.0000
2018,0.0325,0.3386,0.5851,0.8361,0.9469,1.0000,1.0000,1.0000,1.0000,1.0000
