Year,1,2,3,4,5,6,7,8,9,10
1963,19.34725522,62.27970774,7.027909322,3.518647989,2.774357966,1.206856974,0.080579581,0.489264297,0.013432252,0.005754974
1964,13.05240755,28.54095295,20.11848934,4.284771889,1.907661325,1.808603941,0.596283524,0.116965063,0.093155153,0.015374456
1965,113.654631,58.22678547,17.64635406,9.135490313,2.375093736,0.94570813,0.654610341,0.296560239,0.050763962,0.082820279
1966,126.5075318,84.32689232,29.76584297,6.153320487,3.361895602,1.271750669,0.474570409,0.367899425,0.125304999,0.138632778
1967,60.96225756,95.27543115,32.68892283,11.20450383,3.2546137,1.96368277,0.883584464,0.353411498,0.136811961,0.056998516
1968,36.91475797,106.3726849,42.56923647,12.33008971,6.045574924,1.407297014,0.86590165,0.307106049,0.150390475,0.134557333
1969,5.434237328,32.83954613,31.5320189,13.64136303,4.542291039,2.880933431,0.584641244,0.419997657,0.146585666,0.123516022
1970,107.177436,42.40337801,18.54681341,13.27174229,6.265503669,1.753853088,0.956144493,0.208018815,0.185120308,0.137409945
1971,303.5193161,191.7893786,17.17931068,6.720109771,7.065251977,2.686289159,0.888471813,0.455297615,0.226996099,0.169917984
1972,42.06234309,246.0857061,48.06165237,5.653371083,2.712742735,3.184482421,1.671265635,0.608525778,0.388261724,0.129419248
1973,111.7509804,48.98256854,54.9012644,14.00172945,2.194669741,1.103460475,1.054607873,0.487025588,0.079344808,0.218489007
1974,139.6348166,74.50185388,11.41798409,15.74485863,4.600550197,0.956187277,0.436099445,0.392850579,0.329844363,0.268073915
1975,169.8618137,63.12101145,18.84881321,4.639872866,7.525183221,2.056866778,0.447139761,0.194635318,0.227520455,0.157815028
1976,232.4760163,182.9893274,18.67220198,6.707141181,1.732035132,3.055508925,0.91978289,0.130364481,0.066512531,0.105092943
1977,547.7288452,98.93488206,25.98926138,4.597347713,2.285629931,0.833049874,1.14015049,0.369816664,0.26232308,0.121563649
1978,58.50120894,253.0254702,17.17797954,9.396001656,2.989062611,1.102940119,0.408098305,0.403051809,0.15226384,0.079331518
1979,615.6982582,96.41293662,44.3836424,4.010797096,3.374578443,0.708147536,0.395744035,0.138872064,0.156838879,0.058664492
1980,1248.083667,122.0479043,34.93796559,12.27439446,1.958058882,1.268632285,0.493700341,0.196691,0.073486919,0.080626816
1981,175.8627759,221.9330285,34.64606648,8.953284133,4.087987337,0.778895789,0.599166032,0.133378754,0.064454816,0.057026465
1982,248.1664216,73.13219431,60.00522037,9.487472564,3.4467535,2.047841975,0.42470913,0.234210358,0.077105891,0.042491837
1983,80.43650858,139.5257591,21.48039045,11.78678555,2.803407532,1.245644595,0.589009799,0.179266264,0.08879916,0.050579092
1984,601.8793595,78.54348164,31.09186559,4.23791994,3.414979835,1.012865187,0.433872092,0.242658857,0.059284869,0.063798376
1985,72.09628555,153.9567475,19.00326796,7.779001156,1.368947848,1.257485149,0.370738541,0.172010313,0.078090413,0.046296203
1986,663.3466829,38.06924593,34.27663505,5.791013147,2.980645037,0.601586841,0.553507584,0.170140471,0.068746834,0.067253788
1987,49.45071967,189.7221936,9.761482822,8.688926057,1.528236936,1.071155333,0.233680377,0.214533465,0.054668752,0.060042397
1988,36.73765635,72.10889316,43.92863526,3.116683773,2.543337776,0.65187517,0.292930272,0.065612856,0.063086875,0.040959679
1989,198.9921133,44.76829689,18.54445841,9.791406052,0.994388822,1.028139324,0.248902386,0.138939088,0.026528389,0.041134386
1990,45.50355587,102.0269603,11.87301451,4.298631776,2.444600543,0.307176602,0.306671363,0.053700007,0.059871852,0.020973377
1991,60.76084765,31.52758586,17.00215215,3.266528977,1.371764237,1.0390907,0.221962607,0.137472946,0.027428081,0.013622272
1992,129.5720506,41.35294905,8.524800689,4.915530191,1.040803381,0.48170551,0.323452481,0.050875985,0.03889939,0.026057929
1993,38.12081698,82.70917456,11.14501604,3.126055331,1.545895415,0.426237817,0.199628137,0.106266901,0.017420884,0.022618237
1994,336.0916135,41.77288463,21.0446992,3.045390737,0.859200665,0.512875599,0.140171668,0.057041601,0.031749263,0.022092027
1995,60.24190882,106.0836807,12.78256688,5.222594954,0.79039549,0.281961287,0.148293802,0.041233502,0.014463747,0.017934849
1996,19.12432964,59.36042637,23.80937535,3.12533983,1.834237376,0.39311491,0.15932543,0.086608241,0.042071651,0.011954808
1997,109.5520037,42.49394755,18.43027803,6.409359328,1.221441038,0.690342711,0.15117471,0.046696011,0.01408593,0.024624241
1998,16.7008306,171.2064843,18.29343688,5.909243783,2.378512368,0.504294705,0.233271025,0.040712774,0.015735472,0.016451486
1999,36.79261273,15.1795251,39.90372856,3.958970234,1.418555215,0.613996428,0.218591949,0.08905936,0.014116857,0.011569248
2000,45.11769596,27.96539735,6.309983342,6.529268213,0.995580224,0.375288054,0.13548453,0.039297924,0.017785757,0.005531115
2001,7.623652262,53.40272774,6.797216949,1.113800282,1.05266189,0.140436095,0.082363737,0.026800752,0.013303374,0.006708231
2002,30.69245464,21.26531185,17.01223963,2.804693375,0.395069504,0.384145997,0.058108448,0.038224031,0.018097323,0.004322209
2003,6.1349127,14.97465499,4.327524618,3.127017488,0.397350046,0.067912083,0.061103495,0.014595856,0.005391926,0.00279208
2004,21.80667907,12.45213204,7.460138116,1.649618995,0.944481335,0.154990149,0.028694354,0.019331092,0.006098894,0.001752356
2005,11.2221596,16.47798662,4.830605264,1.862916604,0.545581723,0.351392169,0.052209919,0.013278748,0.011286765,0.002391378
2006,28.17669273,39.74274732,6.374892914,1.019577134,0.524127984,0.187361422,0.12114662,0.022959144,0.003765268,0.001129833
2007,16.94678751,29.38071781,4.92118052,2.04291759,0.450516128,0.160775601,0.040296472,0.040573078,0.006092077,0.002077834
2008,11.18514067,12.59854867,11.72104881,1.368806725,0.719532896,0.224294188,0.069615001,0.025889811,0.013097042,0.002226864
2009,10.12723255,13.88727179,5.494282116,3.538549395,0.646352845,0.25429907,0.052641443,0.019132014,0.016907844,0.013562008
2010,10.98682622,14.18783189,5.831350792,1.646316466,1.34418232,0.198638225,0.064920306,0.016233212,0.006323386,0.00547649
2011,5.034638365,12.391057,4.970243291,1.488631935,0.616270572,0.454538808,0.048988692,0.028202353,0.004961625,0.003720188
2012,11.81478428,7.419699775,6.789359918,2.077416169,0.638136986,0.249485722,0.139479869,0.014898692,0.004246038,0.005072491
2013,6.870781286,8.74312298,3.918796282,2.988534888,0.948684474,0.229322511,0.09954228,0.037813496,0.004807258,0.002270684
2014,9.995458466,10.71066622,5.809676364,1.768498324,1.344698843,0.337165208,0.064401744,0.037812423,0.0055479,0.002287459
2015,4.665853464,15.31935698,6.86871638,2.113280203,0.799595056,0.647648385,0.158614177,0.026763594,0.008848953,0.003129891
2016,3.233879013,6.976588594,8.754092047,3.407736472,1.043622145,0.278666818,0.188459064,0.043905859,0.009162818,0.00630844
2017,10.11820195,5.054034558,4.503918446,3.987380587,1.756236071,0.394661289,0.095458122,0.079194226,0.024076417,0.01101956
2018,2.959268999,15.18719094,4.359241034,2.210476536,1.789202882,0.788605744,0.285853627,0.067196562,0.047594225,0.024752047
