year,1,2,3,4,5,6,7,8,9,10
1963,0.314000,0.809000,2.647000,4.491000,6.794000,9.409000,11.562000,11.942000,13.383000,13.756000
1964,0.357000,0.761000,2.366000,4.528000,6.447000,8.520000,10.606000,10.758000,12.340000,13.924434
1965,0.312000,0.900000,2.295000,4.512000,7.274000,9.498000,11.898000,12.041000,13.053000,14.559696
1966,0.313000,0.836000,2.437000,4.169000,7.027000,9.599000,11.766000,11.968000,14.060000,15.297928
1967,0.326000,0.868000,2.395000,3.153000,6.803000,9.610000,12.033000,12.481000,13.589000,15.694948
1968,0.327000,0.848000,2.215000,4.094000,5.341000,8.020000,8.581000,10.162000,10.720000,12.337836
1969,0.417000,0.755000,2.127000,3.852000,5.715000,6.722000,9.262000,9.749000,10.384000,11.760321
1970,0.449000,0.845000,2.028000,4.001000,6.131000,7.945000,9.953000,10.131000,11.919000,13.082708
1971,0.314000,0.834000,2.188000,4.258000,6.528000,8.646000,10.356000,11.219000,12.881000,14.464633
1972,0.300000,0.729000,2.080000,3.968000,6.011000,8.246000,9.766000,10.228000,11.875000,12.775062
1973,0.335000,0.700000,1.913000,3.776000,5.488000,7.453000,9.019000,9.810000,11.077000,12.747630
1974,0.304000,0.901000,2.206000,4.156000,6.174000,8.333000,9.889000,10.791000,12.175000,13.339670
1975,0.304000,0.760000,2.348000,4.226000,6.404000,8.691000,10.107000,10.910000,12.339000,13.557963
1976,0.198000,0.722000,2.449000,4.577000,6.494000,8.620000,10.132000,11.340000,12.888000,14.390514
1977,0.294000,0.673000,2.128000,4.606000,6.714000,8.828000,10.071000,11.052000,11.824000,14.103153
1978,0.432000,0.743000,2.001000,4.146000,6.530000,8.667000,9.685000,11.099000,12.427000,13.437612
1979,0.291000,0.905000,2.411000,4.423000,6.579000,8.474000,10.637000,11.550000,13.057000,14.528018
1980,0.257000,0.917000,1.948000,4.401000,6.109000,9.120000,9.550000,11.867000,12.782000,14.493464
1981,0.330000,0.769000,2.186000,4.615000,7.045000,8.884000,9.933000,11.519000,13.338000,16.305284
1982,0.358000,0.908000,1.856000,4.130000,6.785000,8.903000,10.398000,12.500000,13.469000,13.535165
1983,0.403000,0.882000,1.834000,3.880000,6.491000,8.423000,9.848000,11.837000,12.797000,13.409866
1984,0.305000,0.921000,2.156000,3.972000,6.190000,8.362000,10.317000,11.352000,13.505000,13.427392
1985,0.314000,0.800000,2.132000,4.164000,6.324000,8.430000,10.362000,12.074000,13.072000,15.859073
1986,0.293000,0.782000,1.822000,3.504000,6.230000,8.140000,9.896000,11.940000,12.951000,14.151397
1987,0.437000,0.773000,1.955000,3.650000,6.052000,8.307000,10.243000,11.461000,12.447000,18.269169
1988,0.466000,0.753000,1.975000,3.187000,5.992000,7.914000,9.764000,12.127000,14.242000,17.203261
1989,0.364000,0.932000,1.810000,3.585000,5.273000,7.921000,9.724000,11.212000,12.586000,15.340787
1990,0.382000,0.690000,2.165000,3.791000,5.931000,7.890000,10.235000,10.923000,12.803000,18.874414
1991,0.393000,0.889000,1.995000,3.971000,6.082000,8.033000,9.545000,10.948000,13.481000,14.436684
1992,0.395000,0.970000,2.546000,4.223000,6.247000,8.483000,10.101000,10.482000,11.849000,14.556709
1993,0.326000,0.846000,2.477000,4.551000,6.540000,8.094000,9.641000,10.734000,12.329000,13.741201
1994,0.305000,0.788000,2.188000,4.471000,7.167000,8.436000,9.537000,10.323000,12.223000,13.033027
1995,0.420000,0.768000,2.206000,4.293000,7.220000,8.980000,10.282000,11.743000,13.107000,12.575822
1996,0.433000,0.831000,2.095000,4.034000,6.637000,8.494000,9.729000,11.080000,12.264000,11.809791
1997,0.386000,0.797000,2.117000,3.821000,6.228000,8.394000,9.979000,11.424000,12.300000,13.029592
1998,0.372000,0.634000,1.622000,3.495000,5.387000,7.563000,9.628000,10.643000,11.499000,14.448184
