year,1,2,3,4,5,6,7,8,9,10
1999,0.318000,0.732000,1.405000,3.305000,5.726000,7.403000,8.582000,10.365000,11.600000,12.270183
2000,0.354000,0.903000,1.747000,3.216000,4.903000,7.488000,9.636000,10.671000,10.894000,11.933865
2001,0.372000,0.606000,2.093000,3.663000,5.871000,7.333000,9.264000,10.081000,12.062000,11.720961
2002,0.298000,0.572000,1.576000,3.726000,5.537000,8.006000,9.451000,10.012000,11.888000,12.650894
2003,0.285000,0.781000,1.645000,3.298000,5.757000,6.694000,8.838000,12.674000,11.518000,11.617651
2004,0.269000,0.496000,1.712000,3.075000,5.175000,7.449000,8.974000,9.894000,11.857000,12.323295
2005,0.342000,0.860000,1.529000,3.533000,5.124000,7.201000,9.457000,10.567000,11.384000,16.234704
2006,0.250000,0.236000,1.804000,3.828000,5.665000,7.229000,9.262000,10.477000,12.325000,15.577281
2007,0.313000,0.893000,2.001000,4.026000,6.117000,8.543000,9.255000,10.293000,12.282000,15.891418
2008,0.424000,0.904000,1.966000,3.890000,6.207000,7.491000,9.644000,11.489000,11.387000,13.830439
2009,0.406000,1.133000,2.355000,4.023000,6.154000,7.560000,9.733000,11.447000,11.291000,13.507338
2010,0.335000,0.965000,2.426000,4.180000,6.033000,8.299000,9.472000,11.631000,12.827000,11.444100
2011,0.405000,0.915000,2.438000,4.569000,6.472000,7.829000,9.656000,9.461000,10.853000,13.484305
2012,0.274000,0.800000,2.252000,4.154000,6.392000,8.117000,9.095000,11.799000,12.548000,13.795205
2013,0.388000,0.932000,2.249000,4.060000,5.999000,8.360000,9.385000,9.486000,11.364000,17.783694
2014,0.398000,0.927000,2.237000,4.083000,5.598000,7.392000,9.190000,9.180000,11.469000,19.986617
2015,0.366000,0.945000,2.098000,4.031000,5.802000,6.761000,8.602000,9.410000,8.663000,24.052399
2016,0.387000,1.049000,2.138000,3.803000,5.712000,7.332000,7.928000,8.717000,10.367000,14.017351
2017,0.249000,0.925000,2.238000,3.794000,5.296000,6.857000,8.850000,8.618000,9.586000,18.240826
2018,0.299000,0.793000,1.865000,3.791000,5.641000,6.874000,7.746000,8.893000,8.554000,14.455393
